Zona,ObjectId,et_x,et_y,et_order,ZoneId,zone_name
G2,26,25.280140,54.677340,87,12,Geltonoji 8-20h
G2,26,25.280060,54.677420,86,12,Geltonoji 8-20h
G2,26,25.278770,54.678570,65,12,Geltonoji 8-20h
G2,26,25.278740,54.678600,64,12,Geltonoji 8-20h
G2,26,25.278730,54.678610,63,12,Geltonoji 8-20h
G2,26,25.278710,54.678620,62,12,Geltonoji 8-20h
G2,26,25.278010,54.679370,40,12,Geltonoji 8-20h
G2,26,25.278000,54.679380,39,12,Geltonoji 8-20h
G2,26,25.277980,54.679430,38,12,Geltonoji 8-20h
G2,26,25.277930,54.679530,37,12,Geltonoji 8-20h
G2,26,25.277910,54.679580,36,12,Geltonoji 8-20h
G2,26,25.277860,54.679710,35,12,Geltonoji 8-20h
G2,26,25.277830,54.679770,34,12,Geltonoji 8-20h
G2,26,25.277820,54.679800,33,12,Geltonoji 8-20h
G2,26,25.277800,54.679830,32,12,Geltonoji 8-20h
G2,26,25.277790,54.679850,31,12,Geltonoji 8-20h
G2,26,25.277780,54.679850,30,12,Geltonoji 8-20h
G2,26,25.277770,54.679860,29,12,Geltonoji 8-20h
G2,26,25.277750,54.679860,28,12,Geltonoji 8-20h
G2,26,25.277670,54.679870,27,12,Geltonoji 8-20h
G2,26,25.277630,54.679920,26,12,Geltonoji 8-20h
G2,26,25.277580,54.679970,25,12,Geltonoji 8-20h
G2,26,25.277550,54.680010,24,12,Geltonoji 8-20h
G2,26,25.278030,54.679330,41,12,Geltonoji 8-20h
G2,26,25.284090,54.675960,103,12,Geltonoji 8-20h
G2,26,25.278040,54.679310,42,12,Geltonoji 8-20h
G2,26,25.278070,54.679270,44,12,Geltonoji 8-20h
G2,26,25.278710,54.678620,61,12,Geltonoji 8-20h
G2,26,25.278660,54.678670,60,12,Geltonoji 8-20h
G2,26,25.278620,54.678710,59,12,Geltonoji 8-20h
G2,26,25.278610,54.678710,58,12,Geltonoji 8-20h
G2,26,25.278610,54.678720,57,12,Geltonoji 8-20h
G2,26,25.278610,54.678730,56,12,Geltonoji 8-20h
