"SHA1(sms_receive_source_phone)";"sms_receive_operator";"FROM_UNIXTIME(sms_receive_date)";"sms_receive_body"
"eef4b763eeb078ebe8b01633b06ab4a313138d59";"1";"2017-04-05 07:58:39";"Start z"
"6a318a0a917ac12fa34e777ca7b0ec35b05c8854";"2";"2017-04-05 07:58:56";"Start G"
"6e8d231b855c8d135b4fdf633767c41671e81910";"3";"2017-04-05 07:58:57";"Start G"
"6c8245f4bf175955e0682a7fbcfa8ae9bc7b1124";"3";"2017-04-05 07:59:00";"STOP"
"0e77f15d579e974ddcb7c18353af2eada224fea8";"2";"2017-04-05 07:59:01";"Start R"
"8e3304919408a9aa6077b9a4215ad84d6e01974d";"2";"2017-04-05 07:59:21";"Start G"
"060af4521a28ef678d8bcacbcb8798a18e5ea22f";"1";"2017-04-05 07:59:21";"Start Z"
"db95ffa721ca7f85484d031bac9d7a65dbb970ad";"1";"2017-04-05 07:59:27";"Start g"
"c1092b74cc41f0f031dabf719d902aad1753431e";"1";"2017-04-05 07:59:53";"Start g"
"83c190f750e44ffce7daed046c186738ad89a091";"2";"2017-04-05 07:59:56";"Start G"
"34cfbe609cd77c83a0debcf933606a28d891047e";"1";"2017-04-05 07:59:59";"START G"
"ebab10b729671c4a788293cd051b53fa82d0477b";"1";"2017-04-05 08:00:01";"START G "
"aa291721f45140ba2d571cb826580c640162aa08";"2";"2017-04-05 08:00:02";"Start R"
"6a2840bcbe214553a1a6639739988f29cbda4f6a";"1";"2017-04-05 08:00:06";"START G"
"d9e3d26e5153fa374985e51805537363e1467ea9";"2";"2017-04-05 08:00:07";"Start g "
"f817a9e14a6bb6191fdc49a904d2b2c780864900";"1";"2017-04-05 08:00:12";"Start g"
"96a9c3095f331d24677bbd956138a8b54fa6c569";"2";"2017-04-05 08:00:13";"Start G"
"1cfa9fa0a290c55ca0e5a711c0d86c8d95191d06";"1";"2017-04-05 08:00:30";"Start z"
"142369257759f43931597d4c16bbc422d84807fa";"2";"2017-04-05 08:00:31";"Start m"
"44200b0d5fe5b90df4971380bb3f530be76af113";"1";"2017-04-05 08:00:37";"Start g "
"6cefc6286923354ea298c2d89bdb5d726dddaf61";"1";"2017-04-05 08:00:38";"Stop z"
"309009ab7ce86c0e9ffacc6d3551629ff399d149";"3";"2017-04-05 08:00:42";"START Z"
"4c6b2a284c88b6d88dec6b64e636ea91db5e56bf";"1";"2017-04-05 08:00:48";"Start g "
"9708ef4110ddd66c89f072df6473a4cd4008222c";"3";"2017-04-05 08:00:50";"Start r"
"4fe9e96748530356156f4483c674e9f0b8c37dd6";"1";"2017-04-05 08:00:59";"Stop"
"3a49842d29f4adb0662babdd45bdda951983de98";"1";"2017-04-05 08:01:18";"Stop"
"44200b0d5fe5b90df4971380bb3f530be76af113";"1";"2017-04-05 08:01:29";"Start g "
"93b88c16f200c9f5fd7d481ce1f80ac65d3db5ad";"3";"2017-04-05 08:01:30";"Start r "
"3f9f7aed609786720849f7a657c2c0baa69d475c";"1";"2017-04-05 08:01:35";"Start g"
"50d0e54e9e6fd720b17ef0daf2d290456cf20c60";"2";"2017-04-05 08:01:36";"Start z"
"c674e129282cd0f13fe6c50d0d55b8d4edbe9163";"2";"2017-04-05 08:01:47";"Start m"
"8c2bdca05c65306605625fdfee89ad9f669310ba";"2";"2017-04-05 08:02:07";"Start g"
"45131609041be750c684ef143b05d949e9d12fe8";"2";"2017-04-05 08:02:11";"STOP"
"3a49842d29f4adb0662babdd45bdda951983de98";"1";"2017-04-05 08:02:19";"Stop"
"cac6266c681e224131a442ab8b7577265cbb0d22";"2";"2017-04-05 08:02:22";"STOP"
"75a67646ed725eb4baa0ed600fa287f566eaad5e";"3";"2017-04-05 08:02:22";"Start G"
"5bc35177f88128b4721b71168988ccabb9e52a9d";"3";"2017-04-05 08:02:39";"START G"
"83ac251176fb2230bb1698301b5bd3b4abfbdb3d";"2";"2017-04-05 08:02:46";"Start r"
"670933578ba5e014fe1f737a9af8fefe8f3c0b4e";"2";"2017-04-05 08:02:56";"Start Z"
"4beade13cb9687514f98d58d5af63b2227864fe0";"3";"2017-04-05 08:02:59";"STOP"
"b4cfabe9224e8396326bd51f5d16679058c4c5f4";"2";"2017-04-05 08:03:01";"Stop"
"50ef13bd28549562dfb28c10f6c5193cd20708e3";"3";"2017-04-05 08:03:12";"Stop"
"9c38b22820d8b5da8a4a36b49332407fbc47f56f";"1";"2017-04-05 08:03:17";"Start r"
"98e5403438c134ea2cb79636e982e82a1496a42f";"1";"2017-04-05 08:03:58";"START Z"
"b1c1b6297eff781f5512b3c284e7bad617ee889c";"3";"2017-04-05 08:04:22";"START Z"
"f817a9e14a6bb6191fdc49a904d2b2c780864900";"1";"2017-04-05 08:04:24";"Stop"
"b97feaa4e63f0656cce65cbe4a0f8e4d9d4b6451";"1";"2017-04-05 08:04:29";"Start G"
"c674e129282cd0f13fe6c50d0d55b8d4edbe9163";"2";"2017-04-05 08:04:32";"Stop"
"ecf5f78df3ac2a10a7d524181caa3b0cc2929fe1";"1";"2017-04-05 08:04:49";"START G"
"060af4521a28ef678d8bcacbcb8798a18e5ea22f";"1";"2017-04-05 08:04:50";"Stop"
"45066a3902da4a24f25f513311d4cc4662c2fd99";"3";"2017-04-05 08:04:56";"start z"
"87a94b747f491eae9a9198cabc26e184e43837b5";"3";"2017-04-05 08:05:02";"Start G"
"752d6afb76f71ba399985010f88833fa67463016";"3";"2017-04-05 08:05:12";"Start Z"
"654af862ff3b1f839ce853b138ebc89042f96caa";"3";"2017-04-05 08:05:19";"Start G"
"b1c1b6297eff781f5512b3c284e7bad617ee889c";"3";"2017-04-05 08:05:20";"STOP"
"69c281160ef01a6683077bc850e68f8170bd87a3";"3";"2017-04-05 08:05:37";"Start z"
"b1c1b6297eff781f5512b3c284e7bad617ee889c";"3";"2017-04-05 08:05:42";"START Z"
"590c709fa47850cf4241fc97f7c98e93b93b2f8a";"1";"2017-04-05 08:05:58";"Start g"
